day_of_yr,PRCP,SNWD,AWND,AVG_T,snowed,num_trips
68,0,2,6.3,40,0,12262
69,0,1.2,5.4,43.5,0,17231
70,0,0,4.7,55.5,0,24356
71,0.35,0,5.4,44,0,15101
72,0,0,14.1,25,0,10979
73,0,0,5.6,34,0,16299
74,0,0,8.9,50,0,18053
75,0,0,7.6,36,0,9851
76,0,0,8.1,29,0,12503
77,0,0,6.9,35.5,0,16679
78,0.92,0,7.2,39,0,13341
79,0,0,8.1,47,0,19695
80,0,0,7.6,45,0,20718
81,0,0,6.9,52,0,19880
82,0,0,7.4,34.5,0,11740
83,0,0,6.7,28,0,13598
84,0,0,5.8,32.5,0,16037
85,0,0,11.9,30,0,14500
86,0,0,6.7,33,0,16666
87,0.04,0,5.4,49.5,0,18425
88,1.81,0,10.7,51,0,4480
89,0.35,0,10.1,44,0,7907
90,0.16,0,8.3,46,0,17085
91,0,0,4.7,49.5,0,23908
92,0,0,2,48,0,22515
93,0.07,0,3.8,56.5,0,26321
94,0.21,0,8.5,43.5,0,12566
95,0,0,8.5,47,0,18655
96,0,0,4.3,48.5,0,20750
97,0.52,0,6,48,0,14677
98,0.34,0,6.9,55,0,21884
99,0,0,6.9,53,0,26931
100,0,0,6.9,50,0,27463
101,0,0,5.8,65.5,0,26798
102,0,0,4.3,61.5,0,27108
103,0,0,5.8,65.5,0,26871
104,0,0,7.4,67,0,28832
105,0.71,0,8.7,48,0,10523
106,0.05,0,7.6,40,0,20082
107,0,0,7.8,42,0,22282
108,0,0,5.4,42,0,20770
109,0,0,5.6,54.5,0,24369
110,0,0,6.3,52.5,0,18464
111,0,0,4.3,54,0,27124
112,0.01,0,5.6,61,0,27259
113,0,0,9.4,52.5,0,26949
114,0,0,8.5,52,0,28107
115,0.02,0,4.9,53.5,0,27919
116,0.92,0,5.4,56.5,0,19899
117,0,0,5.8,53,0,21926
118,0,0,4.3,56,0,28557
119,0.03,0,8.9,47.5,0,18404
120,4.97,0,8.3,46.5,0,2867
121,0.12,0,4.5,64.5,0,26762
122,0,0,4.5,63,0,32377
123,0.08,0,3.4,62.5,0,25501
124,0.02,0,8.3,59.5,0,21277
125,0,0,7.4,60,0,30288
126,0,0,3.8,61.5,0,32233
127,0,0,4,59.5,0,32882
128,0.41,0,4.5,56,0,17619
129,0.04,0,3.1,59,0,22641
130,0.37,0,4.5,70,0,21832
131,0.03,0,3.1,71,0,28326
132,0,0,1.8,74.5,0,31644
133,0,0,7.2,63,0,32847
134,0.01,0,4.7,61.5,0,30044
135,0.15,0,5.4,64.5,0,26057
136,1.54,0,6.5,63,0,17784
137,0,0,4.9,61.5,0,29912
138,0,0,5.8,59,0,27436
139,0,0,4.7,60.5,0,31692
140,0,0,3.1,65.5,0,35567
141,0,0,2.5,68.5,0,34420
142,0.24,0,3.1,63,0,24535
143,0.91,0,4.3,63.5,0,24484
144,0.4,0,3.6,63.5,0,16798
145,0,0,2,67.5,0,25637
146,0,0,4.9,76,0,26930
147,0,0,4.3,75,0,32936
148,0,0,7.6,59,0,29690
149,0,0,4.3,58.5,0,33889
150,0,0,2.5,65,0,34343
151,0.05,0,5.8,65,0,27734
152,0,0,3.6,66,0,31333
153,0,0,4.5,69.5,0,34519
154,0.12,0,4,76,0,29501
155,0,0,3.6,72.5,0,36068
156,0.87,0,5.6,68.5,0,24619
157,0,0,4.5,68.5,0,37719
158,0,0,2.9,71,0,31204
159,0,0,2.9,76,0,30162
160,1.6,0,4.3,68,0,18611
161,0,0,3.4,71,0,33435
162,0.02,0,7.2,65.5,0,30548
163,0.07,0,5.6,66.5,0,29084
164,1.28,0,3.6,72,0,18308
165,0,0,4.7,67,0,28417
166,0,0,4.3,69.5,0,28382
167,0,0,2.9,72,0,34932
168,0,0,4,80,0,35097
169,0,0,5.8,82.5,0,35531
170,0.15,0,3.8,72.5,0,31724
171,0,0,4.5,71.5,0,34405
172,0,0,4.9,70,0,30288
173,0,0,2,71.5,0,29417
174,0,0,2.7,73,0,32580
175,0,0,4.9,74.5,0,35897
176,0.08,0,4.9,77.5,0,34340
177,0.07,0,4.7,77.5,0,34846
178,0,0,2.9,75,0,35823
179,0,0,2.9,76.5,0,28507
180,0,0,2.7,75.5,0,27986
181,0,0,2.7,76.5,0,33597
182,0,0,5.1,80.5,0,34854
183,0.96,0,3.8,81.5,0,26582
184,1.78,0,2.9,78,0,27587
185,0.14,0,5.4,69.5,0,13612
186,0,0,6.7,72,0,22913
187,0,0,4.9,75,0,23822
188,0.04,0,5.8,81,0,31863
189,0.39,0,4.7,81,0,32713
190,0.09,0,4.3,79.5,0,34426
191,0,0,2.9,77.5,0,36288
192,0,0,4,78.5,0,35000
193,0,0,3.4,78,0,28718
194,0.03,0,5.1,77.5,0,24869
195,0.46,0,4.5,78,0,25825
196,1.3,0,2.7,79,0,22963
197,0,0,3.8,74.5,0,35391
198,0,0,4,74,0,38619
199,0,0,4,72.5,0,36105
200,0,0,5.1,72,0,29291
201,0,0,4,73,0,30296
202,0,0,2,76,0,35670
203,0,0,3.8,78.5,0,36886
204,0.19,0,4.9,80,0,34173
205,0,0,4.9,75,0,36693
206,0,0,4.3,74,0,36384
207,0,0,4.3,75,0,27179
208,0.02,0,3.4,78,0,27004
209,0.19,0,7.4,75,0,33189
210,0,0,4.9,70,0,37092
211,0,0,2.9,71.5,0,37377
212,0,0,3.4,75,0,35458
213,0,0,3.8,77.5,0,32654
214,0.41,0,6,68.5,0,26784
215,0.07,0,2.2,71,0,25276
216,0,0,3.4,77,0,33822
217,0,0,2.5,80.5,0,34392
218,0,0,2.9,76.5,0,36336
219,0,0,4.3,74.5,0,36362
220,0,0,3.1,74,0,34073
221,0,0,2.9,76.5,0,31636
222,0,0,2.9,78,0,26749
223,0,0,3.1,79,0,33664
224,0.19,0,5.8,74.5,0,26261
225,0.53,0,5.6,75,0,27977
226,0,0,4.7,70,0,35154
227,0,0,5.4,67,0,32480
228,0,0,4,70.5,0,32017
229,0.01,0,3.6,74,0,27417
230,0,0,4.5,72,0,34339
231,0,0,3.8,73,0,35367
232,0,0,2.2,77,0,35532
233,0.35,0,3.6,74,0,33804
234,0.06,0,4.7,72,0,30406
235,0.01,0,4.7,72,0,26429
236,0,0,3.1,72,0,27493
237,0,0,2.7,76,0,32892
238,0,0,2.2,79.5,0,34519
239,0,0,3.4,80,0,33721
240,0,0,5.4,74,0,33927
241,0,0,3.4,70.5,0,31264
242,0,0,2.2,72.5,0,22689
243,0.62,0,3.4,81.5,0,18053
244,0,0,2.9,81.5,0,23575
245,0,0,5.4,84.5,0,30507
246,0,0,3.4,79,0,35535
247,0,0,2.7,78,0,36496
248,0,0,2.9,79.5,0,34831
249,0.11,0,4.7,79,0,25833
250,0,0,4.7,73,0,29721
251,0,0,7.6,70,0,34335
252,0,0,7.8,68,0,34518
253,0,0,5.8,71.5,0,37653
254,0,0,4.7,76,0,37081
255,0,0,5.1,70,0,37204
256,0.26,0,5.1,63.5,0,17293
257,0,0,3.1,62,0,28688
258,0,0,2.9,63,0,35045
259,0.37,0,2.2,64,0,25633
260,0,0,2.7,64,0,37453
261,0,0,2.7,66.5,0,37381
262,0,0,7.6,60,0,34713
263,0,0,2.9,66,0,30011
264,0.15,0,1.6,71,0,26080
265,0,0,6.7,63,0,33239
266,0,0,1.8,61.5,0,36347
267,0,0,5.6,64.5,0,35481
268,0.32,0,8.3,60.5,0,16650
269,0,0,4.3,67.5,0,35116
270,0,0,2.5,71.5,0,30193
271,0,0,1.8,74,0,29021
272,0,0,0.7,73,0,33161
273,0,0,4.7,66.5,0,35093
274,0.02,0,6,63,0,27942
275,0,0,4.7,65.5,0,34492
276,0,0,4.3,63.5,0,34944
277,1.18,0,6.7,60.5,0,13354
278,0,0,5.6,53.5,0,23456
279,0,0,3.8,59.5,0,31742
280,0.06,0,4.7,67,0,32892
281,0.04,0,7.2,67.5,0,33607
282,0,0,5.6,61.5,0,32203
283,0,0,2.2,58,0,30887
284,0.33,0,4.5,55,0,12965
285,0,0,2.7,55.5,0,23394
286,0.05,0,2.7,58.5,0,22752
287,0,0,4.7,69.5,0,32614
288,0.69,0,5.1,73,0,28743
289,1.11,0,4,66,0,26754
290,0,0,4.5,65,0,34132
291,0,0,6.3,63,0,24978
292,0,0,7.6,50,0,18840
293,0,0,3.8,51,0,27914
294,0.11,0,3.6,61,0,31330
295,1.51,0,9.4,54,0,9169
296,0.61,0,7.6,51.5,0,13371
297,0,0,4.5,57,0,29837
298,0.01,0,5.8,58.5,0,24952
299,0,0,7.8,58,0,20768
300,0,0,5.1,55.5,0,28806
301,0,0,2.9,62.5,0,32956
302,0,0,4.9,61.5,0,29999
303,0,0,3.6,53,0,31133
304,0.05,0,6.5,50,0,27785
305,0.35,0,8.9,44.5,0,6002
306,0,0,10.7,44.5,0,14100
307,0,0,5.8,50,0,26757
308,0,0,4.7,60.5,0,31174
309,0,0,4.5,60,0,30539
310,0.37,0,3.1,52.5,0,12283
311,0,0,7.4,46.5,0,25355
312,0,0,6,42,0,17443
313,0,0,2.7,51.5,0,18207
314,0,0,2.5,52.5,0,27655
315,0,0,3.4,56.5,0,29358
316,0,0,2.7,56,0,27807
317,0.2,0,3.6,42,0,20652
318,0.06,0,7.2,38.5,0,21082
319,0,0,3.6,37.5,0,14057
320,0.03,0,3.8,40,0,13272
321,1.54,0,3.8,46,0,8116
322,0,0,10.1,34.5,0,16691
323,0,0,7.2,29,0,16694
324,0,0,7.2,38,0,20611
325,0,0,7.6,32.5,0,17806
326,0,0,4.9,36,0,12682
327,0,0,3.8,50,0,15669
328,0.7,0,5.4,61,0,23031
329,0,0,5.1,59.5,0,25580
330,1.24,0,8.7,42.5,1,3675
331,0.02,0,5.1,36,0,3945
332,0,0,5.8,33,0,8378
333,0,0,3.6,36,0,8183
334,0,0,4.3,50,0,12384
335,0.09,0,6.7,53.5,0,18519
336,0.08,0,9.2,39,0,15367
337,0.06,0,7.6,43.5,0,13472
338,0,0,5.8,41,0,21335
339,0.51,0,6,39,0,15818
340,1.22,0,4,44.5,0,4047
341,0.04,0,11.9,36,0,10510
342,0,0,11.4,30.5,0,15557
343,2.54,0,10.3,39,0,6713
344,0.08,0,8.3,36,1,10399
345,0.01,1.2,7.6,34.5,0,18141
346,0,0,8.1,35,0,17892
347,0,0,8.9,39,0,12549
348,0,0,6,42,0,11941
349,0,0,2.7,42.5,0,19382
350,0.2,0,3.8,43.5,0,16816
351,0.02,0,5.8,48,0,20346
352,0,0,8.7,39.5,0,19051
353,0,0,7.2,34.5,0,17200
354,0,0,4.9,31.5,0,9582
355,0,0,4.9,33.5,0,8747
356,0.04,0,6,39.5,0,13560
357,0.16,0,8.3,44.5,0,9422
358,0.8,0,5.8,51,0,4285
359,0.09,0,9.6,53,0,4890
360,0,0,5.8,45,0,9895
361,0,0,4.5,49.5,0,10247
362,0.1,0,5.8,48.5,0,7902
363,0,0,5.1,39,0,13549
364,0,0,4.3,31,0,12196
365,0,0,5.6,29.5,0,9739
