day_of_yr,PRCP,SNWD,AWND,AVG_T,snowed,num_trips
1,0,0,5.6,28.5,0,6059
2,0.33,0,12.3,25.5,1,8600
3,0.29,5.9,10.5,13.5,1,1144
4,0,5.9,4.9,18.5,0,2292
5,0.14,3.9,3.8,33.5,0,2678
6,0.36,1.2,8.5,37,0,9510
7,0,0,13.2,11.5,0,6267
8,0,0,7.2,15.5,0,9246
9,0,0,2.9,27,0,13354
10,0.11,0,3.4,33.5,0,9847
11,0.5,0,7.2,47.5,0,7695
12,0.05,0,8.3,46,0,12515
13,0,0,5.1,44,0,20633
14,0.38,0,4.9,48,0,9999
15,0,0,2.9,43,0,21630
16,0,0,4,39,0,19953
17,0,0,3.6,38.5,0,20301
18,0.07,0,7.2,35,0,9438
19,0,0,7.4,31,0,9028
20,0,0,7.4,38.5,0,13407
21,0.46,0,10.5,21,1,3804
22,0.02,11,8.7,11,1,2451
23,0,7.1,7.2,13.5,0,5071
24,0,5.9,8.1,15,0,6176
25,0.04,3.9,7.6,23.5,1,4338
26,0,3.9,-9999,25.5,0,4980
27,0,3.1,7.8,32.5,0,13119
28,0,1.2,6,16.5,0,10033
29,0.04,2,6.5,18.5,1,10021
30,0,1,3.8,23,0,12158
31,0,1.2,4.9,32,0,14653
32,0,1.2,3.6,40.5,0,12771
33,0,1.2,3.1,47.5,0,13816
34,1.17,1.2,6.7,35,1,2600
35,0,7.9,2.2,28.5,0,8709
36,1.43,9.1,7.2,31.5,1,2746
37,0,9.1,4,26.5,0,7196
38,0,9.1,6.7,28,0,8495
39,0,9.1,4.9,25,0,5986
40,0.1,7.9,3.6,26,1,4996
41,0,9.8,7.2,25,0,6846
42,0,9.8,5.4,21,0,8343
43,0,9.8,5.8,19,0,8580
44,1.78,11.8,12.5,30,1,876
45,0.3,18.1,10.5,35.5,1,3609
46,0.13,18.1,9.4,32,1,2261
47,0,18.1,8.9,25.5,0,3003
48,0,16.9,5.4,25,0,4854
49,0.16,18.1,5.1,32.5,1,5140
50,0.26,16.9,5.1,39.5,0,8506
51,0.03,15,4.9,44,0,11792
52,0.09,13,7.4,42.5,0,8680
53,0,9.8,7.2,47,0,13044
54,0,9.1,5.4,48.5,0,13324
55,0,5.9,9.4,35.5,0,12922
56,0,5.9,6.9,28.5,0,12830
57,0.03,5.9,5.4,25.5,1,11188
58,0,5.9,8.5,24,0,12036
59,0,5.9,4.7,16.5,0,9587
60,0,5.9,4.5,28.5,0,9202
61,0,5.1,3.8,36,0,8195
62,0.04,5.1,6.7,24.5,1,7708
63,0,5.1,4.7,21,0,10398
64,0,3.9,5.1,32.5,0,13801
65,0,3.9,8.5,23.5,0,12773
66,0,3.9,7.8,31.5,0,13304
67,0,3.1,5.8,46,0,16350
