day_of_yr,PRCP,SNWD,AWND,AVG_T,snowed,num_trips
1,0,0,7.6,38,0,11009
2,0,0,6.7,36,0,14587
3,0,0,7.8,40,0,15499
4,0,0,8.5,25,0,19593
5,0,0,5.1,20,0,18053
6,0,0,3.6,33,0,24569
7,0,0,2.5,38.5,0,27773
8,0,0,4.3,38.5,0,28709
9,0,0,8.1,43.5,0,20846
10,1.8,0,9.8,49.5,0,14275
11,0,0,10.5,33,0,22937
12,0,0,6,34.5,0,25211
13,0,0,9.8,26,0,21133
14,0,0,4.9,30,0,23780
15,0,0,5.1,42.5,0,28435
16,0.24,0,6.7,47,0,19178
17,0.05,0,5.6,36,1,12024
18,0,0,11.9,24.5,0,12718
19,0,0,11,22,0,17281
20,0,0,5.6,32,0,23420
21,0,0,6,31,0,23672
22,0.01,0,6.5,25.5,1,20950
27,0,9.1,6.7,40.5,0,6761
28,0,5.9,4.5,37,0,11946
29,0,5.9,7.8,35.5,0,16028
30,0,5.9,6.9,33.5,0,12973
31,0,3.9,5.1,46,0,16118
32,0.01,2,5.8,51.5,0,24334
33,0,0,3.6,44,0,28528
34,0.73,0,6.5,50.5,0,16203
35,0,0,5.8,51.5,0,27766
36,0.53,1.2,8.3,37.5,1,13670
37,0,0,5.6,35,0,16933
38,0,0,5.4,40,0,17605
39,0.05,0,10.5,33.5,1,19026
40,0,0,4,31.5,0,22741
41,0.01,0,5.8,35,0,22420
42,0,0,10.1,24.5,0,18748
43,0,0,6.7,21,0,16449
44,0,0,12.3,14,0,6625
45,0,0,6.3,7,0,4653
46,0.44,0,5.4,24,1,5884
47,1.01,0,7.8,44.5,0,14542
48,0,0,7.4,37,0,23572
49,0,0,7.2,31.5,0,22261
50,0,0,5.4,31.5,0,21959
51,0,0,7.4,50,0,24484
52,0.03,0,4.9,49.5,0,20052
53,0,0,5.1,45,0,28233
54,0.3,0,14.5,37.5,0,16133
55,1.22,0,10.5,48,0,9761
56,0.02,0,8.9,49,0,25102
57,0,0,8.7,33,0,22573
58,0,0,6,33.5,0,17226
59,0,0,7.4,49,0,25437
60,0.05,0,8.5,54,0,27954
61,0,0,7.6,45.5,0,30509
62,0.14,0,10.5,42,0,26195
63,0,0,5.8,31,0,24061
64,0.11,0,8.7,34.5,1,17369
65,0,0,4.3,34.5,0,18023
