day_of_yr,PRCP,SNWD,AWND,AVG_T,snowed,num_trips
66,0,0,3.4,38,0,18832
67,0,0,7.8,48,0,31492
68,0,0,3.4,57,0,36521
69,0,0,2.2,60.5,0,41490
70,0,0,4.9,71,0,42252
71,0.06,0,6,58,0,38195
72,0,0,5.1,49.5,0,32771
73,0,0,3.6,56,0,27550
74,0.29,0,14.1,45.5,0,10930
75,0,0,5.4,50.5,0,31596
76,0.02,0,3.6,56.5,0,36067
77,0,0,4.9,54,0,35390
78,0,0,8.7,49.5,0,34647
79,0,0,5.1,41,0,24048
80,0.07,0,9.6,37.5,0,16678
81,0.06,0,8.1,41,1,26414
82,0,0,6.9,45.5,0,33497
83,0,0,6,59.5,0,40983
84,0,0,9.2,49.5,0,36495
85,0.04,0,3.8,58,0,34097
86,0,0,6.5,46.5,0,27478
87,0,0,5.6,49,0,22483
88,0.38,0,10.1,52,0,20345
89,0,0,11.6,46.5,0,31481
90,0,0,5.4,46.5,0,33684
91,0,0,6.7,61,0,38348
92,0.02,0,6.7,70,0,34449
93,0.16,0,4.9,55,0,21839
94,0.09,0,12.8,42,0,15322
95,0.47,0,7.2,37,0,12302
96,0,0,8.3,34.5,0,26238
97,0,0,6,39,0,29365
98,0.09,0,6.9,53,0,30402
99,0.01,0,7.2,45,0,30817
100,0.11,0,6.5,39.5,0,12702
101,0,0,4.9,40.5,0,23229
102,0.01,0,6.9,54,0,32048
103,0.2,0,5.8,52,0,23765
104,0,0,4.5,49,0,37539
105,0,0,6.5,52.5,0,38505
106,0,0,3.8,53.5,0,39676
107,0,0,4.9,55.5,0,36148
108,0,0,2.9,59.5,0,38843
109,0,0,3.8,66.5,0,43994
110,0,0,7.6,64,0,46075
111,0,0,6,59,0,44547
112,0,0,5.6,61,0,45570
113,0,0,4.3,70.5,0,48815
114,0.16,0,7.2,62.5,0,33647
115,0,0,5.8,57.5,0,37866
116,0,0,4,59.5,0,42308
117,0.24,0,7.2,53.5,0,34643
118,0,0,4.3,54,0,41931
119,0,0,4.7,53.5,0,37428
120,0.05,0,5.8,51.5,0,34878
121,0,0,5.8,55.5,0,38258
122,0.16,0,4.9,48,0,10697
123,0.04,0,2.2,52.5,0,38537
124,0.61,0,6,53.5,0,22858
125,0.01,0,8.7,50,0,31619
126,0,0,8.3,51.5,0,39903
127,0.54,0,7.8,51,0,18860
128,0,0,4.5,54,0,31078
129,0.16,0,4.7,57.5,0,31197
130,0,0,5.1,62,0,45724
131,0,0,4.9,56.5,0,44849
132,0,0,2.5,63,0,51181
133,0,0,3.4,68,0,52273
134,0.25,0,-9999,61,0,32391
135,0,0,-9999,64.5,0,42063
136,0,0,-9999,52.5,0,28661
137,0,0,-9999,54.5,0,42787
138,0,0,3.8,58,0,43396
139,0,0,-9999,60,0,44803
140,0,0,1.3,63.5,0,49182
141,0,0,4.5,64.5,0,52543
142,0.04,0,3.8,60,0,30519
143,0.09,0,3.6,61,0,37802
144,0.02,0,2.5,67,0,48578
145,0.18,0,2,65.5,0,34796
146,0,0,4.3,74.5,0,53439
147,0,0,3.6,79.5,0,52133
148,0,0,3.8,80,0,46937
149,0,0,4.5,81.5,0,34222
150,0,0,4.9,78.5,0,36877
151,1.65,0,3.1,75,0,32619
152,0,0,3.1,78,0,49756
153,0,0,6,74.5,0,54665
154,0,0,4.7,70,0,54401
155,0.04,0,1.3,66.5,0,38975
156,0.4,0,2.5,74.5,0,40977
157,0.91,0,3.4,68,0,22397
158,0,0,5.6,74,0,52149
159,0,0,5.1,74.5,0,51812
160,0.45,0,7.6,59.5,0,42250
161,0,0,8.9,62.5,0,52905
162,0,0,5.4,67,0,53299
163,0,0,3.4,73.5,0,41030
164,0,0,8.1,72.5,0,40637
165,0,0,7.4,65.5,0,49069
166,0,0,4.3,68.5,0,54813
167,0,0,2.5,73.5,0,55049
168,0.22,0,1.8,69.5,0,46198
169,0,0,4.7,70.5,0,54236
170,0,0,2.7,74,0,48901
171,0,0,2.9,77,0,45270
172,0,0,3.1,74,0,52247
173,0,0,4.9,79.5,0,53564
174,0,0,4,77,0,55749
175,0,0,2,76,0,53206
176,0,0,6.3,75.5,0,54186
177,0,0,3.6,75,0,43000
178,0,0,2.5,77,0,42992
179,0.45,0,4.9,75,0,47023
180,0.12,0,3.6,72,0,49593
181,0.01,0,2.2,75,0,54882
182,0,0,2.9,76,0,54843
183,0.83,0,3.4,72.5,0,39669
184,0,0,5.4,69.5,0,35837
185,0,0,3.1,71,0,35348
186,0.49,0,3.1,75,0,34860
187,0.66,0,2.9,77.5,0,43744
188,0,0,2.5,83,0,51353
189,0.04,0,2,83,0,48742
190,0.08,0,5.4,76.5,0,44419
191,0.53,0,4,68.5,0,38142
192,0,0,4.3,73,0,41991
193,0,0,3.4,73,0,52870
194,0,0,4.3,75,0,56537
195,0,0,4.7,78,0,55486
196,0.62,0,2.9,80.5,0,50350
197,0,0,4.5,83.5,0,48572
198,0,0,4.3,82.5,0,38406
199,0,0,2.7,82,0,41347
200,0.35,0,5.8,82.5,0,43687
201,0,0,4.9,78,0,54593
202,0,0,3.1,76.5,0,57225
203,0,0,5.1,80.5,0,54842
204,0,0,6.5,84,0,49191
205,0,0,4.9,88,0,37523
206,0,0,4,84.5,0,39637
207,1,0,3.4,83,0,35379
208,0,0,4.3,80.5,0,52912
209,0,0,2,82.5,0,54163
210,0,0,3.1,85,0,50151
211,1.09,0,4.3,77,0,37703
212,0.25,0,3.6,78.5,0,27780
213,1.08,0,4.3,74.5,0,27651
214,0,0,4.9,74.5,0,49401
215,0,0,6.9,73.5,0,56764
216,0,0,2.9,73,0,57003
217,0,0,2,74,0,56604
218,0,0,3.8,76,0,53297
219,0.05,0,5.1,79.5,0,44213
220,0,0,4,78,0,43631
221,0,0,1.3,78.5,0,52262
222,0,0,2.7,79,0,56112
223,0.09,0,4,80.5,0,50114
224,0.15,0,4.5,82.5,0,47430
225,0.32,0,5.1,83,0,44750
226,0,0,4,88.5,0,38912
227,0.06,0,3.8,86,0,32961
228,0,0,2.9,84.5,0,49063
229,0.11,0,4,82.5,0,50426
230,0.01,0,5.4,81,0,53989
231,0.03,0,1.6,78.5,0,53218
232,0.01,0,2.2,81,0,51669
233,0.82,0,4.7,76.5,0,45817
234,0.31,0,4.3,79.5,0,35051
235,0,0,5.8,72,0,54404
236,0,0,1.8,71.5,0,58674
237,0,0,-9999,78,0,58154
238,0.01,0,-9999,77.5,0,53487
239,0,0,-9999,82.5,0,52037
240,0,0,2.7,81,0,45674
241,0,0,2.5,80.5,0,44639
242,0,0,5.4,82.5,0,53288
243,0,0,3.1,77.5,0,57405
244,0,0,3.4,81.5,0,57214
245,0.5,0,1.8,74,0,38187
246,0,0,6,73.5,0,53007
247,0,0,6.7,70.5,0,41630
248,0,0,6.7,72.5,0,46023
249,0,0,7.6,74.5,0,45436
250,0,0,9.6,75.5,0,52447
251,0,0,6.5,78,0,60500
252,0,0,2.7,80,0,61596
253,0.22,0,3.8,83,0,56813
254,0,0,4,82,0,48455
255,0,0,5.8,75,0,52245
256,0,0,4.3,70,0,61103
257,0,0,4,73.5,0,64839
258,0.56,0,4.9,79,0,59203
259,0,0,4.9,67.5,0,67331
260,0,0,2.7,67,0,65275
261,0,0,3.4,68,0,59200
262,0,0,3.6,76,0,51686
263,0.68,0,2.5,72.5,0,34217
264,0,0,2.2,75,0,64891
265,0,0,3.8,76,0,65463
266,0,0,2.5,75.5,0,67810
267,0.01,0,1.8,75.5,0,65517
268,0.2,0,5.1,64.5,0,53259
269,0,0,2.9,62,0,53568
270,0,0,4.5,64,0,61386
271,0.22,0,3.1,69,0,61346
272,0,0,8.1,62.5,0,59464
273,0,0,11.2,60.5,0,55578
274,0.4,0,9.6,57.5,0,21381
275,0,0,7.6,59,0,39811
276,0,0,2.7,60,0,41023
277,0,0,2.2,66,0,56384
278,0,0,7.6,64.5,0,60379
279,0,0,4.7,60,0,65053
280,0,0,2,64,0,67585
281,0,0,2.5,66,0,65896
282,0.23,0,2,63,0,34625
283,0.55,0,7.4,58,0,21689
284,0,0,4.7,55.5,0,52255
285,0,0,3.6,54.5,0,58768
286,0,0,1.1,59.5,0,57690
287,0,0,2.9,60,0,61217
288,0,0,4.7,54.5,0,60566
289,0,0,3.1,55,0,51992
290,0,0,4,61,0,48870
291,0,0,2.7,72,0,62657
292,0,0,4,74,0,68240
293,0,0,4.5,75,0,69772
294,0,0,6.3,66,0,63674
295,1.11,0,2.2,63,0,40873
296,0.29,0,10.5,52,0,25303
297,0,0,8.5,53,0,41463
298,0,0,6,54.5,0,55261
299,0,0,6.5,47.5,0,52681
300,0,0,4,44.5,0,52484
301,1.41,0,5.1,47.5,0,21058
302,0,0,8.3,46.5,0,46242
303,0,0,4.3,51.5,0,42514
304,0.56,0,3.8,65,0,37765
305,0,0,4.9,49,0,50082
306,0,0,3.1,49,0,55967
307,0,0,3.1,62,0,62144
308,0,0,5.1,64.5,0,59641
309,0,0,4.7,54,0,57877
310,0,0,3.1,53,0,48689
311,0,0,7.6,52,0,39413
312,0,0,5.4,47,0,49890
313,0,0,2.5,53.5,0,56603
314,0.06,0,3.6,54,0,38060
315,0,0,5.8,48,0,50871
316,0,0,8.3,52,0,45832
317,0,0,5.4,43.5,0,34667
318,0,0,5.4,51,0,36810
319,0,0,3.6,54,0,48834
320,1.81,0,5.6,51.5,0,22896
321,0,0,4,53,0,53342
322,0,0,4.3,55,0,53895
323,0,0,2.5,54,0,53390
324,0.25,0,4.9,50,0,41213
325,0.31,0,10.3,38,0,20617
326,0,0,13.2,38.5,0,32972
327,0,0,9.6,39,0,36749
328,0,0,4.9,40,0,34466
329,0.03,0,4.5,43,0,12122
330,0.02,0,2,49.5,0,20980
331,0,0,4.5,45,0,23811
332,0,0,4.7,44.5,0,24077
333,0,0,3.4,45,0,42091
334,2.2,0,4.9,55.5,0,14588
335,0.73,0,6.3,54,0,24435
336,0.07,0,7.6,48,0,43242
337,0,0,8.7,45.5,0,42371
338,0,0,8.7,44,0,29854
339,0,0,4.9,43,0,27455
340,0.19,0,5.6,43.5,0,35932
341,0.35,0,5.4,41.5,0,33332
342,0.09,0,3.8,43,0,38021
343,0,0,-9999,40,0,39626
344,0,0,-9999,34,0,33547
345,0,0,6,31.5,0,22379
346,0.03,0,4,31.5,1,17799
347,0.5,0,6.3,40,0,29037
348,0,0,4,39,0,39025
349,0,0,5.6,38,0,37808
350,0,0,11,26.5,0,25015
351,0,0,6,22,0,24490
352,0.73,2,4.3,31.5,1,6993
353,0.04,1.2,7.4,44.5,0,16295
354,0,0,6.7,27,0,25649
355,0,0,3.1,26.5,0,27685
356,0,0,2.9,35,0,30625
357,0,0,6.3,43,0,30889
358,0,0,6.5,42.5,0,26344
359,0.47,0,4.9,42.5,0,8014
360,0,0,6.3,43,0,9924
361,0.02,0,6.5,41.5,0,10775
362,0,0,7.2,50,0,25955
363,0,0,5.1,37,0,23601
364,0.39,0,5.4,39.5,0,13207
365,0.01,0,9.4,36.5,0,21375
366,0,0,6.9,37.5,0,15928
